"","food.probability","energy","energy.sd","temperature","temperature.sd","population.density","pop.size","sex.ratio","replicate_num","median_moves"
"96","0.75","5","2","85","10","5","100","0.5","2","5"
"97","0.1","10","2","85","10","5","100","0.5","1","24"
"98","0.1","10","2","85","10","5","100","0.5","2","5"
"99","0.25","10","2","85","10","5","100","0.5","1","5"
"100","0.25","10","2","85","10","5","100","0.5","2","25"
"101","0.5","10","2","85","10","5","100","0.5","1","15"
"102","0.5","10","2","85","10","5","100","0.5","2","25"
"103","0.75","10","2","85","10","5","100","0.5","1","4"
"104","0.75","10","2","85","10","5","100","0.5","2","15"
"105","0.1","20","2","85","10","5","100","0.5","1","15"
"106","0.1","20","2","85","10","5","100","0.5","2","4"
"107","0.25","20","2","85","10","5","100","0.5","1","14"
"108","0.25","20","2","85","10","5","100","0.5","2","25"
"109","0.5","20","2","85","10","5","100","0.5","1","25"
"110","0.5","20","2","85","10","5","100","0.5","2","15"
"111","0.25","10","2","85","10","0","100","0.5","1","15"
"112","0.25","10","2","85","10","0","100","0.5","2","25"
"113","0.75","20","2","85","10","5","100","0.5","1","25"
"114","0.75","20","2","85","10","5","100","0.5","2","25"
"115","0.1","50","2","85","10","5","100","0.5","1","15"
"116","0.1","50","2","85","10","5","100","0.5","2","4"
"117","0.25","50","2","85","10","5","100","0.5","1","15"
"118","0.25","50","2","85","10","5","100","0.5","2","5"
"119","0.5","50","2","85","10","5","100","0.5","1","15"
"120","0.5","50","2","85","10","5","100","0.5","2","15"
"121","0.75","50","2","85","10","5","100","0.5","1","5"
"122","0.75","50","2","85","10","5","100","0.5","2","4"
"123","0.1","5","2","85","10","10","100","0.5","1","5"
"124","0.1","5","2","85","10","10","100","0.5","2","4"
"125","0.25","5","2","85","10","10","100","0.5","1","5"
"126","0.25","5","2","85","10","10","100","0.5","2","4"
"127","0.5","5","2","85","10","10","100","0.5","1","5"
"128","0.5","5","2","85","10","10","100","0.5","2","15"
"129","0.75","5","2","85","10","10","100","0.5","1","5"
"130","0.75","5","2","85","10","10","100","0.5","2","14"
"131","0.1","10","2","85","10","10","100","0.5","1","5"
"132","0.1","10","2","85","10","10","100","0.5","2","25"
"133","0.5","10","2","85","10","0","100","0.5","1","15"
"134","0.5","10","2","85","10","0","100","0.5","2","25"
"135","0.25","10","2","85","10","10","100","0.5","1","25"
"136","0.25","10","2","85","10","10","100","0.5","2","25"
"137","0.5","10","2","85","10","10","100","0.5","1","5"
"138","0.5","10","2","85","10","10","100","0.5","2","15"
"139","0.75","10","2","85","10","10","100","0.5","1","15"
"140","0.75","10","2","85","10","10","100","0.5","2","15"
"141","0.1","20","2","85","10","10","100","0.5","1","4"
"142","0.1","20","2","85","10","10","100","0.5","2","4"
"143","0.25","20","2","85","10","10","100","0.5","1","15"
"144","0.25","20","2","85","10","10","100","0.5","2","15"
"145","0.5","20","2","85","10","10","100","0.5","1","5"
"146","0.5","20","2","85","10","10","100","0.5","2","5"
"147","0.75","20","2","85","10","10","100","0.5","1","15"
