"","sex","energy","ind.num","ind.energy","temp","blank","movement.num","blank_2"
"1","m","9.27548031159175","1","8","92.9571907795711",NA,"0",NA
"2","m","9.27548031159175","1","9","104.956665393055",NA,"1",NA
"3","m","9.27548031159175","1","12","91.616251189276",NA,"2",NA
"4","m","9.27548031159175","1","12","91.616251189276",NA,"2",NA
"5","m","9.27548031159175","1","13","92.0286651671881",NA,"3",NA
"6","m","9.27548031159175","1","13","92.0286651671881",NA,"3",NA
"7","m","9.27548031159175","1","13","92.0286651671881",NA,"3",NA
"8","m","9.27548031159175","1","13","92.0286651671881",NA,"3",NA
"9","m","9.27548031159175","1","13","92.0286651671881",NA,"3",NA
"10","m","9.27548031159175","1","0","82.4422204186977",NA,"4",NA
"11","m","9.27548031159175","1","12","101.045515345696",NA,"5",NA
"12","m","9.27548031159175","1","12","101.045515345696",NA,"5",NA
"13","m","9.27548031159175","1","12","101.045515345696",NA,"5",NA
"14","m","9.27548031159175","1","0","71.8384556680571",NA,"6",NA
"15","m","9.27548031159175","1","0","94.8396440519902",NA,"7",NA
"16","m","9.27548031159175","1","0","88.2603639801331",NA,"8",NA
"17","m","9.27548031159175","1","0","85.0309954888215",NA,"9",NA
"18","m","9.27548031159175","1","0","69.6744767949653",NA,"10",NA
"19","m","9.27548031159175","1","0","69.6744767949653",NA,"10",NA
"20","m","9.27548031159175","1","0","69.6744767949653",NA,"10",NA
"21","m","9.27548031159175","1","0","69.6744767949653",NA,"10",NA
"22","m","9.27548031159175","1","12","90.1337223970356",NA,"11",NA
"23","m","9.27548031159175","1","12","90.1337223970356",NA,"11",NA
"24","m","9.27548031159175","1","0","62.9607905243686",NA,"12",NA
"25","m","9.27548031159175","1","9","85.2481830803629",NA,"13",NA
"26","m","9.27548031159175","1","12","80.69785639599",NA,"14",NA
"27","m","9.27548031159175","1","12","80.69785639599",NA,"14",NA
"28","m","9.27548031159175","1","12","80.69785639599",NA,"14",NA
"29","m","9.27548031159175","1","12","80.69785639599",NA,"14",NA
"30","m","9.27548031159175","1","12","80.69785639599",NA,"14",NA
"31","m","9.27548031159175","1","0","86.1361557382694",NA,"15",NA
"32","m","9.27548031159175","1","0","86.1361557382694",NA,"15",NA
"33","m","9.27548031159175","1","0","86.1361557382694",NA,"15",NA
"34","m","9.27548031159175","1","0","86.1361557382694",NA,"15",NA
"35","m","9.27548031159175","1","0","86.1361557382694",NA,"15",NA
"36","m","9.27548031159175","1","9","70.4219218557992",NA,"16",NA
"37","m","9.27548031159175","1","9","70.4219218557992",NA,"16",NA
"38","m","9.27548031159175","1","10","77.425809171862",NA,"17",NA
"39","m","9.27548031159175","1","0","98.0165462172823",NA,"18",NA
"40","m","9.27548031159175","1","0","102.251549129328",NA,"19",NA
"41","m","9.27548031159175","1","0","89.3845506719149",NA,"20",NA
"42","m","9.27548031159175","1","0","100.012675753265",NA,"21",NA
"43","m","9.27548031159175","1","0","89.5354331570189",NA,"22",NA
"44","m","9.27548031159175","1","0","89.5354331570189",NA,"22",NA
"45","m","9.27548031159175","1","12","99.4440504676879",NA,"23",NA
"46","m","9.27548031159175","1","12","99.4440504676879",NA,"23",NA
"47","m","9.27548031159175","1","8","81.6391059697653",NA,"24",NA
"48","m","9.27548031159175","1","8","83.2662985987271",NA,"25",NA
"49","m","9.27548031159175","1","8","83.2662985987271",NA,"25",NA
"50","m","9.27548031159175","1","11","60.927817339575",NA,"26",NA
"51","m","9.27548031159175","1","10","93.6791093703292",NA,"27",NA
"52","m","9.27548031159175","1","11","63.4241709855339",NA,"28",NA
"53","m","9.27548031159175","1","11","63.4241709855339",NA,"28",NA
"54","m","9.27548031159175","1","0","83.0761314055338",NA,"29",NA
"55","m","9.27548031159175","1","0","83.0761314055338",NA,"29",NA
"56","m","9.27548031159175","1","0","93.4215958904648",NA,"30",NA
"57","m","9.27548031159175","1","0","83.3557462504947",NA,"31",NA
"58","m","9.27548031159175","1","0","83.3557462504947",NA,"31",NA
"59","m","9.27548031159175","1","0","83.3557462504947",NA,"31",NA
"60","m","9.27548031159175","1","0","83.3557462504947",NA,"31",NA
"61","m","9.27548031159175","1","0","96.0037550257311",NA,"32",NA
"62","m","9.27548031159175","1","10","82.5403981533521",NA,"33",NA
"63","m","9.27548031159175","1","10","82.5403981533521",NA,"33",NA
"64","m","9.27548031159175","1","0","76.1188216859779",NA,"34",NA
"65","m","9.27548031159175","1","0","89.7414132818103",NA,"35",NA
"66","m","9.27548031159175","1","0","89.7414132818103",NA,"35",NA
"67","m","9.27548031159175","1","0","89.7414132818103",NA,"35",NA
"68","m","9.27548031159175","1","11","91.0765691073659",NA,"36",NA
"69","m","9.27548031159175","1","11","102.266264945865",NA,"37",NA
"70","m","9.27548031159175","1","0","92.0381864446293",NA,"38",NA
"71","m","9.27548031159175","1","8","96.8216836825901",NA,"39",NA
"72","m","9.27548031159175","1","0","93.7709533366047",NA,"40",NA
"73","m","9.27548031159175","1","0","80.5919819671032",NA,"41",NA
"74","m","9.27548031159175","1","0","98.1766897730094",NA,"42",NA
"75","m","9.27548031159175","1","0","91.9825998453872",NA,"43",NA
"76","m","9.27548031159175","1","0","91.9825998453872",NA,"43",NA
"77","m","9.27548031159175","1","0","91.9825998453872",NA,"43",NA
"78","m","9.27548031159175","1","7","78.5372794364349",NA,"44",NA
"79","m","9.27548031159175","1","7","78.5372794364349",NA,"44",NA
"80","m","9.27548031159175","1","7","78.5372794364349",NA,"44",NA
"81","m","9.27548031159175","1","8","103.134792332228",NA,"45",NA
"82","m","9.27548031159175","1","0","86.917224296582",NA,"46",NA
"83","m","9.27548031159175","1","0","86.917224296582",NA,"46",NA
"84","m","9.27548031159175","1","13","81.4198891682924",NA,"47",NA
"85","m","9.27548031159175","1","13","81.4198891682924",NA,"47",NA
"86","m","9.27548031159175","1","0","87.0471174994246",NA,"48",NA
"87","m","9.27548031159175","1","9","107.744694205276",NA,"49",NA
