"","sex","energy","ind.num","ind.energy","temp","blank","movement.num","blank_2"
"1","f","9.16330082101096","1","11","72.6461411241383",NA,"0",NA
"2","f","9.16330082101096","1","9","94.0118849118123",NA,"1",NA
"3","f","9.16330082101096","1","9","94.0118849118123",NA,"1",NA
"4","f","9.16330082101096","1","9","94.0118849118123",NA,"1",NA
"5","f","9.16330082101096","1","9","94.0118849118123",NA,"1",NA
"6","f","9.16330082101096","1","9","94.0118849118123",NA,"1",NA
"7","f","9.16330082101096","1","9","94.0118849118123",NA,"1",NA
"8","f","9.16330082101096","1","8","79.1148280226348",NA,"2",NA
"9","f","9.16330082101096","1","8","79.1148280226348",NA,"2",NA
"10","f","9.16330082101096","1","8","79.1148280226348",NA,"2",NA
"11","m","14.1683497269401","2","12","81.2749760570819",NA,"1",NA
"12","m","14.1683497269401","2","12","81.2749760570819",NA,"1",NA
"13","m","14.1683497269401","2","8","87.8371710122888",NA,"2",NA
"14","m","14.1683497269401","2","0","84.1931322538974",NA,"3",NA
"15","m","14.1683497269401","2","0","84.1931322538974",NA,"3",NA
"16","m","14.1683497269401","2","0","79.3262983622628",NA,"4",NA
"17","m","14.1683497269401","2","0","74.7411210978078",NA,"5",NA
"18","m","14.1683497269401","2","0","84.3069108822324",NA,"6",NA
"19","m","14.1683497269401","2","0","84.3069108822324",NA,"6",NA
"20","m","14.1683497269401","2","11","93.0201215283795",NA,"7",NA
"21","f","11.7486472307215","3","0","91.1967152629465",NA,"1",NA
"22","f","11.7486472307215","3","0","83.5168814378718",NA,"2",NA
"23","f","11.7486472307215","3","0","87.3610406283123",NA,"3",NA
"24","f","11.7486472307215","3","0","87.3610406283123",NA,"3",NA
"25","f","11.7486472307215","3","0","65.9978341316248",NA,"4",NA
"26","f","11.7486472307215","3","0","65.9978341316248",NA,"4",NA
"27","f","11.7486472307215","3","10","95.1977473569979",NA,"5",NA
"28","f","11.7486472307215","3","0","76.6560973819488",NA,"6",NA
"29","f","11.7486472307215","3","0","80.9538950686151",NA,"7",NA
"30","f","11.7486472307215","3","0","80.9538950686151",NA,"7",NA
"31","m","12.739414884414","4","0","80.9538950686151",NA,"0",NA
"32","m","12.739414884414","4","0","80.9538950686151",NA,"0",NA
"33","m","12.739414884414","4","0","80.9538950686151",NA,"0",NA
"34","m","12.739414884414","4","0","87.1232131853635",NA,"1",NA
"35","m","12.739414884414","4","8","82.9722779857303",NA,"2",NA
"36","m","12.739414884414","4","0","69.932752056397",NA,"3",NA
"37","m","12.739414884414","4","13","93.397136850735",NA,"4",NA
"38","m","12.739414884414","4","8","71.1673823154658",NA,"5",NA
"39","m","12.739414884414","4","8","71.1673823154658",NA,"5",NA
"40","m","12.739414884414","4","8","71.1673823154658",NA,"5",NA
"41","m","10.6563276039527","5","9","78.3339153657054",NA,"1",NA
"42","m","10.6563276039527","5","9","78.3339153657054",NA,"1",NA
"43","m","10.6563276039527","5","9","78.3339153657054",NA,"1",NA
"44","m","10.6563276039527","5","8","83.9901636871382",NA,"2",NA
"45","m","10.6563276039527","5","8","83.9901636871382",NA,"2",NA
"46","m","10.6563276039527","5","0","90.9814397370914",NA,"3",NA
"47","m","10.6563276039527","5","0","90.9814397370914",NA,"3",NA
"48","m","10.6563276039527","5","0","90.9814397370914",NA,"3",NA
"49","m","10.6563276039527","5","12","87.4043160037338",NA,"4",NA
"50","m","10.6563276039527","5","12","87.4043160037338",NA,"4",NA
"51","m","9.81122338510053","6","0","87.0924640523614",NA,"1",NA
"52","m","9.81122338510053","6","0","87.0924640523614",NA,"1",NA
"53","m","9.81122338510053","6","5","83.1869871757685",NA,"2",NA
"54","m","9.81122338510053","6","12","81.1520960991968",NA,"3",NA
"55","m","9.81122338510053","6","12","81.1520960991968",NA,"3",NA
"56","m","9.81122338510053","6","12","81.1520960991968",NA,"3",NA
"57","m","9.81122338510053","6","0","97.3619760772705",NA,"4",NA
"58","m","9.81122338510053","6","0","71.4803797301043",NA,"5",NA
"59","m","9.81122338510053","6","0","86.0174578198017",NA,"6",NA
"60","m","9.81122338510053","6","0","75.7134674212706",NA,"7",NA
"61","f","6.21215110654317","7","0","75.7134674212706",NA,"0",NA
"62","f","6.21215110654317","7","0","76.6481739881647",NA,"1",NA
"63","f","6.21215110654317","7","0","85.3817020462144",NA,"2",NA
"64","f","6.21215110654317","7","0","85.3817020462144",NA,"2",NA
"65","f","6.21215110654317","7","0","85.3817020462144",NA,"2",NA
"66","f","6.21215110654317","7","0","85.3817020462144",NA,"2",NA
"67","f","6.21215110654317","7","0","85.001675142261",NA,"3",NA
"68","f","6.21215110654317","7","7","79.1464442888648",NA,"4",NA
"69","f","6.21215110654317","7","9","77.5072600434912",NA,"5",NA
"70","f","6.21215110654317","7","9","77.5072600434912",NA,"5",NA
"71","m","5.67365255166501","8","0","85.2360511889192",NA,"1",NA
"72","m","5.67365255166501","8","0","85.2360511889192",NA,"1",NA
"73","m","5.67365255166501","8","0","66.9019694441775",NA,"2",NA
"74","m","5.67365255166501","8","10","94.6873156498306",NA,"3",NA
"75","m","5.67365255166501","8","0","79.4859716703278",NA,"4",NA
"76","m","5.67365255166501","8","0","79.4859716703278",NA,"4",NA
"77","m","5.67365255166501","8","0","103.41124890654",NA,"5",NA
"78","m","5.67365255166501","8","0","96.7569497995624",NA,"6",NA
"79","m","5.67365255166501","8","14","93.4224373872806",NA,"7",NA
"80","m","5.67365255166501","8","14","93.4224373872806",NA,"7",NA
"81","f","10.2105254862565","9","14","93.4224373872806",NA,"0",NA
"82","f","10.2105254862565","9","14","93.4224373872806",NA,"0",NA
"83","f","10.2105254862565","9","14","93.4224373872806",NA,"0",NA
"84","f","10.2105254862565","9","14","93.4224373872806",NA,"0",NA
"85","f","10.2105254862565","9","14","93.4224373872806",NA,"0",NA
"86","f","10.2105254862565","9","14","93.4224373872806",NA,"0",NA
"87","f","10.2105254862565","9","14","93.4224373872806",NA,"0",NA
"88","f","10.2105254862565","9","0","66.3133864290564",NA,"1",NA
"89","f","10.2105254862565","9","0","66.3133864290564",NA,"1",NA
"90","f","10.2105254862565","9","0","56.9769348281779",NA,"2",NA
"91","m","11.5266617558288","10","0","56.9769348281779",NA,"0",NA
"92","m","11.5266617558288","10","11","83.3649964565833",NA,"1",NA
"93","m","11.5266617558288","10","11","83.3649964565833",NA,"1",NA
"94","m","11.5266617558288","10","0","89.6164453207396",NA,"2",NA
"95","m","11.5266617558288","10","0","89.6164453207396",NA,"2",NA
"96","m","11.5266617558288","10","0","89.6164453207396",NA,"2",NA
"97","m","11.5266617558288","10","0","89.6164453207396",NA,"2",NA
"98","m","11.5266617558288","10","0","89.6164453207396",NA,"2",NA
"99","m","11.5266617558288","10","0","101.559394213293",NA,"3",NA
"100","m","11.5266617558288","10","0","101.559394213293",NA,"3",NA
"101","m","6.0684437765975","11","0","101.559394213293",NA,"0",NA
"102","m","6.0684437765975","11","8","90.6952741627159",NA,"1",NA
"103","m","6.0684437765975","11","8","90.6952741627159",NA,"1",NA
"104","m","6.0684437765975","11","8","90.6952741627159",NA,"1",NA
"105","m","6.0684437765975","11","7","74.0441333456753",NA,"2",NA
"106","m","6.0684437765975","11","0","92.1805352981249",NA,"3",NA
"107","m","6.0684437765975","11","0","74.2324230925095",NA,"4",NA
"108","m","6.0684437765975","11","0","74.2324230925095",NA,"4",NA
"109","m","6.0684437765975","11","9","61.7506805655933",NA,"5",NA
"110","m","6.0684437765975","11","0","93.565952746717",NA,"6",NA
"111","m","9.95711327722064","12","0","93.565952746717",NA,"0",NA
"112","m","9.95711327722064","12","0","89.7608151509546",NA,"1",NA
"113","m","9.95711327722064","12","0","89.7608151509546",NA,"1",NA
"114","m","9.95711327722064","12","0","89.7608151509546",NA,"1",NA
"115","m","9.95711327722064","12","0","89.7608151509546",NA,"1",NA
"116","m","9.95711327722064","12","0","89.7608151509546",NA,"1",NA
"117","m","9.95711327722064","12","10","97.7289049161543",NA,"2",NA
"118","m","9.95711327722064","12","10","97.7289049161543",NA,"2",NA
"119","m","9.95711327722064","12","10","97.7289049161543",NA,"2",NA
"120","m","9.95711327722064","12","10","64.3491483552421",NA,"3",NA
"121","f","10.8122309345406","13","10","64.3491483552421",NA,"0",NA
"122","f","10.8122309345406","13","10","64.3491483552421",NA,"0",NA
"123","f","10.8122309345406","13","10","64.3491483552421",NA,"0",NA
"124","f","10.8122309345406","13","10","64.3491483552421",NA,"0",NA
"125","f","10.8122309345406","13","13","89.9079416877469",NA,"1",NA
"126","f","10.8122309345406","13","0","78.9413353359116",NA,"2",NA
"127","f","10.8122309345406","13","0","102.077609997414",NA,"3",NA
"128","f","10.8122309345406","13","8","108.285483559841",NA,"4",NA
"129","f","10.8122309345406","13","0","77.0121734784153",NA,"5",NA
