"","sex","energy","ind.num","ind.energy","temp","blank","movement.num","blank_2"
"1","f","9.16330082101096","1","0","90.3573860821528",NA,"1",NA
"2","f","9.16330082101096","1","0","90.3573860821528",NA,"1",NA
"3","f","9.16330082101096","1","0","90.3573860821528",NA,"1",NA
"4","f","9.16330082101096","1","0","90.3573860821528",NA,"1",NA
"5","f","9.16330082101096","1","0","73.399669389518",NA,"2",NA
"6","f","9.16330082101096","1","0","73.399669389518",NA,"2",NA
"7","f","9.16330082101096","1","0","73.399669389518",NA,"2",NA
"8","f","9.16330082101096","1","0","86.9871137543838",NA,"3",NA
"9","f","9.16330082101096","1","0","79.0922424527555",NA,"4",NA
"10","f","9.16330082101096","1","0","79.0922424527555",NA,"4",NA
"11","m","14.1683497269401","2","0","79.0922424527555",NA,"0",NA
"12","m","14.1683497269401","2","0","79.0922424527555",NA,"0",NA
"13","m","14.1683497269401","2","10","87.7961230291533",NA,"1",NA
"14","m","14.1683497269401","2","10","87.7961230291533",NA,"1",NA
"15","m","14.1683497269401","2","10","87.7961230291533",NA,"1",NA
"16","m","14.1683497269401","2","10","87.7961230291533",NA,"1",NA
"17","m","14.1683497269401","2","10","87.7961230291533",NA,"1",NA
"18","m","14.1683497269401","2","10","87.7961230291533",NA,"1",NA
"19","m","14.1683497269401","2","0","78.0234348170986",NA,"2",NA
"20","m","14.1683497269401","2","12","94.4807476285217",NA,"3",NA
"21","f","11.7486472307215","3","10","98.9077134727759",NA,"1",NA
"22","f","11.7486472307215","3","10","98.9077134727759",NA,"1",NA
"23","f","11.7486472307215","3","10","98.9077134727759",NA,"1",NA
"24","f","11.7486472307215","3","10","98.9077134727759",NA,"1",NA
"25","f","11.7486472307215","3","6","63.3750253704766",NA,"2",NA
"26","f","11.7486472307215","3","6","63.3750253704766",NA,"2",NA
"27","f","11.7486472307215","3","0","91.4197817505437",NA,"3",NA
"28","f","11.7486472307215","3","9","106.177580067761",NA,"4",NA
"29","f","11.7486472307215","3","0","103.79668197113",NA,"5",NA
"30","f","11.7486472307215","3","0","103.79668197113",NA,"5",NA
"31","m","12.739414884414","4","9","78.2525090014215",NA,"1",NA
"32","m","12.739414884414","4","13","85.5928772696382",NA,"2",NA
"33","m","12.739414884414","4","13","85.5928772696382",NA,"2",NA
"34","m","12.739414884414","4","0","72.6475964587431",NA,"3",NA
"35","m","12.739414884414","4","0","72.6475964587431",NA,"3",NA
"36","m","12.739414884414","4","0","72.6475964587431",NA,"3",NA
"37","m","12.739414884414","4","0","72.6475964587431",NA,"3",NA
"38","m","12.739414884414","4","0","72.6475964587431",NA,"3",NA
"39","m","12.739414884414","4","0","79.8434240391675",NA,"4",NA
"40","m","12.739414884414","4","0","79.8434240391675",NA,"4",NA
