"","sex","energy","ind.num","ind.energy","temp","blank","movement.num","blank_2"
"38","m","12.739414884414","4","0","79.4945581700657",NA,"2",NA
"39","m","12.739414884414","4","0","79.4945581700657",NA,"2",NA
"40","m","12.739414884414","4","0","79.4945581700657",NA,"2",NA
"41","m","10.6563276039527","5","0","75.1464413737183",NA,"1",NA
"42","m","10.6563276039527","5","0","75.1464413737183",NA,"1",NA
"43","m","10.6563276039527","5","0","75.1464413737183",NA,"1",NA
"44","m","10.6563276039527","5","0","76.5595096089497",NA,"2",NA
"45","m","10.6563276039527","5","0","76.5595096089497",NA,"2",NA
"46","m","10.6563276039527","5","11","74.5408888007143",NA,"3",NA
"47","m","10.6563276039527","5","11","74.5408888007143",NA,"3",NA
"48","m","10.6563276039527","5","11","74.5408888007143",NA,"3",NA
"49","m","10.6563276039527","5","11","74.5408888007143",NA,"3",NA
"50","m","10.6563276039527","5","11","74.5408888007143",NA,"3",NA
"51","m","9.81122338510053","6","11","74.5408888007143",NA,"0",NA
"52","m","9.81122338510053","6","11","74.5408888007143",NA,"0",NA
"53","m","9.81122338510053","6","11","74.5408888007143",NA,"0",NA
"54","m","9.81122338510053","6","11","74.5408888007143",NA,"0",NA
"55","m","9.81122338510053","6","11","74.5408888007143",NA,"0",NA
"56","m","9.81122338510053","6","14","88.9510944076654",NA,"1",NA
"57","m","9.81122338510053","6","0","71.6785831190368",NA,"2",NA
"58","m","9.81122338510053","6","0","71.6785831190368",NA,"2",NA
"59","m","9.81122338510053","6","0","71.6785831190368",NA,"2",NA
"60","m","9.81122338510053","6","8","80.2239039562677",NA,"3",NA
"61","f","6.21215110654317","7","8","80.2239039562677",NA,"0",NA
"62","f","6.21215110654317","7","11","67.1168191652113",NA,"1",NA
"63","f","6.21215110654317","7","11","67.1168191652113",NA,"1",NA
"64","f","6.21215110654317","7","0","94.1834548288218",NA,"2",NA
"65","f","6.21215110654317","7","9","86.4608834945046",NA,"3",NA
"66","f","6.21215110654317","7","9","86.4608834945046",NA,"3",NA
"67","f","6.21215110654317","7","0","90.3246894830012",NA,"4",NA
"68","f","6.21215110654317","7","0","90.3246894830012",NA,"4",NA
"69","f","6.21215110654317","7","8","87.5182333747828",NA,"5",NA
"70","f","6.21215110654317","7","0","80.6278481225598",NA,"6",NA
"71","m","5.67365255166501","8","0","80.6278481225598",NA,"0",NA
"72","m","5.67365255166501","8","0","80.6278481225598",NA,"0",NA
"73","m","5.67365255166501","8","0","66.8673398747636",NA,"1",NA
"74","m","5.67365255166501","8","0","66.8673398747636",NA,"1",NA
"75","m","5.67365255166501","8","0","66.8673398747636",NA,"1",NA
"76","m","5.67365255166501","8","0","88.9981195441338",NA,"2",NA
"77","m","5.67365255166501","8","0","88.9981195441338",NA,"2",NA
"78","m","5.67365255166501","8","12","72.6455590359649",NA,"3",NA
"79","m","5.67365255166501","8","0","83.2318680563591",NA,"4",NA
