"","sex","energy","ind.num","ind.energy","temp","blank","movement.num","blank_2"
"1","f","9.16330082101096","1","11","83.3302988263549",NA,"1",NA
"2","f","9.16330082101096","1","0","76.4335497441973",NA,"2",NA
"3","f","9.16330082101096","1","0","76.4335497441973",NA,"2",NA
"4","f","9.16330082101096","1","0","76.4335497441973",NA,"2",NA
"5","f","9.16330082101096","1","10","84.1612736197624",NA,"3",NA
"6","f","9.16330082101096","1","9","78.4790551157334",NA,"4",NA
"7","f","9.16330082101096","1","9","78.4790551157334",NA,"4",NA
"8","f","9.16330082101096","1","9","92.2923128222068",NA,"5",NA
"9","f","9.16330082101096","1","12","103.665246037316",NA,"6",NA
"10","f","9.16330082101096","1","12","103.665246037316",NA,"6",NA
"11","m","14.1683497269401","2","10","99.044390765177",NA,"1",NA
"12","m","14.1683497269401","2","10","99.044390765177",NA,"1",NA
"13","m","14.1683497269401","2","13","89.4877967401733",NA,"2",NA
"14","m","14.1683497269401","2","13","89.4877967401733",NA,"2",NA
"15","m","14.1683497269401","2","13","89.4877967401733",NA,"2",NA
"16","m","14.1683497269401","2","9","106.26939612128",NA,"3",NA
"17","m","14.1683497269401","2","9","106.26939612128",NA,"3",NA
"18","m","14.1683497269401","2","9","106.26939612128",NA,"3",NA
"19","m","14.1683497269401","2","0","83.0508045222181",NA,"4",NA
"20","m","14.1683497269401","2","0","83.0508045222181",NA,"4",NA
"21","f","11.7486472307215","3","14","79.1998013012479",NA,"1",NA
"22","f","11.7486472307215","3","14","79.1998013012479",NA,"1",NA
"23","f","11.7486472307215","3","11","72.7817965867875",NA,"2",NA
"24","f","11.7486472307215","3","12","74.4965776754485",NA,"3",NA
"25","f","11.7486472307215","3","12","74.4965776754485",NA,"3",NA
"26","f","11.7486472307215","3","0","89.1123412361753",NA,"4",NA
"27","f","11.7486472307215","3","10","71.2532790938514",NA,"5",NA
"28","f","11.7486472307215","3","10","71.2532790938514",NA,"5",NA
"29","f","11.7486472307215","3","10","71.2532790938514",NA,"5",NA
"30","f","11.7486472307215","3","0","79.646538734083",NA,"6",NA
"31","m","12.739414884414","4","10","94.5058688062333",NA,"1",NA
"32","m","12.739414884414","4","8","86.4463829555236",NA,"2",NA
"33","m","12.739414884414","4","9","83.8539482948677",NA,"3",NA
"34","m","12.739414884414","4","0","87.2753873711857",NA,"4",NA
"35","m","12.739414884414","4","0","87.2753873711857",NA,"4",NA
"36","m","12.739414884414","4","0","87.2753873711857",NA,"4",NA
"37","m","12.739414884414","4","0","87.2753873711857",NA,"4",NA
"38","m","12.739414884414","4","0","87.2753873711857",NA,"4",NA
"39","m","12.739414884414","4","0","86.9585269063178",NA,"5",NA
"40","m","12.739414884414","4","0","86.9585269063178",NA,"5",NA
"41","m","10.6563276039527","5","0","86.9585269063178",NA,"0",NA
"42","m","10.6563276039527","5","0","86.9585269063178",NA,"0",NA
"43","m","10.6563276039527","5","0","86.9585269063178",NA,"0",NA
"44","m","10.6563276039527","5","0","86.9585269063178",NA,"0",NA
"45","m","10.6563276039527","5","10","69.5320929221441",NA,"1",NA
"46","m","10.6563276039527","5","13","92.1667083880945",NA,"2",NA
"47","m","10.6563276039527","5","0","79.3687473597029",NA,"3",NA
"48","m","10.6563276039527","5","0","79.3687473597029",NA,"3",NA
"49","m","10.6563276039527","5","13","89.7690512639685",NA,"4",NA
"50","m","10.6563276039527","5","13","89.7690512639685",NA,"4",NA
"51","m","9.81122338510053","6","13","89.7690512639685",NA,"0",NA
"52","m","9.81122338510053","6","0","92.5064938201226",NA,"1",NA
"53","m","9.81122338510053","6","0","92.5064938201226",NA,"1",NA
"54","m","9.81122338510053","6","0","92.5064938201226",NA,"1",NA
"55","m","9.81122338510053","6","0","92.5064938201226",NA,"1",NA
"56","m","9.81122338510053","6","0","87.4405221152257",NA,"2",NA
"57","m","9.81122338510053","6","0","83.0895803525912",NA,"3",NA
"58","m","9.81122338510053","6","0","87.71659719563",NA,"4",NA
"59","m","9.81122338510053","6","13","65.0429998164234",NA,"5",NA
